"Author Name","Username","Post Number","Custom Comment","Personalized DM"
"Sherri Fulmer Moorer","brokenrealitybooks","4th post (1st non-pinned)","I'm absolutely intrigued by the premise of 'EXILE' and the Dark Mirror Trilogy! The cover design is so captivating, and I love the cosmic sci-fi vibe. Can't wait to add this to my TBR list! 🚀📖","Hey Sherri! I came across your page and love what you're doing with the Dark Mirror Trilogy. 'EXILE' looks like an amazing read—the cover art is stellar! Are you currently planning any promotional campaigns or looking for book blogger collaborations to get more eyes on it? I'd love to help you build some momentum for the launch of the next books!"
"Frank Enos","frankenosauthor","2nd post","The cover design for 'Neil: Emergence' is absolutely stunning! The blue butterfly stands out so beautifully. Thriller is one of my favorite genres, added this to my reading list! 🦋📚","Hi Frank! I came across your page and wanted to say 'Neil: Emergence' looks like a really gripping thriller—I love the mysterious vibe of the cover. How has your experience been promoting it on Instagram so far? Are you currently looking for ways to reach a wider audience of thriller lovers or get more book reviews? I'd love to share some ideas!"
"Ethan Oneal","eonealpsyche","2nd post","This setup looks so cozy! Perfect reading vibe for a sci-fi thriller like 'PSYCHE 16'. The cover art looks spectacular! 🌌☕","Hey Ethan! Stumbled upon your page and love the aesthetic for 'PSYCHE 16'. The sci-fi premise looks incredibly intriguing and the visuals you share are top-notch. How is the promotion going? Are you currently planning to run any influencer or bookstagram campaigns to get more reach? I'd love to discuss some ideas!"
"Mark G. McLaughlin","throneofdarius","1st post","The artwork for 'Throne of Darius' is absolutely magnificent! It really captures the epic scale of military historical fiction. Superb! ⚔️🏛️","Hello Mark! I came across your page and wanted to say how impressive 'Throne of Darius' looks—both the premise and the gorgeous cover art. As an author and games designer, that's such a unique combo! How has your experience been promoting the book to historical fiction readers on Instagram? I'd love to chat and share some strategies to help expand its reach!"
"Bart Charlow","bartcharlowauthor","1st post","Such a beautiful quote and review! 'That Catskill Summer' sounds like a deeply emotional and wonderfully nostalgic read. 🌸📚","Hi Bart! I came across your page and wanted to congratulate you on 'That Catskill Summer'—bringing the Borscht Belt era to life is such a wonderful concept. How was the recent Half Moon Bay book signing? Are you currently planning any digital promotions or book club outreach to get more readers? I'd love to share some tips!"
"April Humphreys","silencenotforsale","3rd post","The 'Meet the family' series is such a compelling way to introduce readers to your story. Highly emotional and very impactful! 💛📖","Hi April! I came across your page and wanted to say how moving your mission and book 'Silence, Not For Sale' is. Sharing your story to create a safe space for survivors is so brave and important. How has the response to the book been so far? Are you currently looking for ways to reach more readers or survivor groups online? I'd love to help support your message!"
"Thandi Wilson","thandiwrites","4th post (1st non-pinned)","This is incredibly inspiring, Thandi! Writing 'The Pig Who Wanted to Fly' under such challenging circumstances is a testament to your passion. The book sounds wonderful! 🐷✨","Hi Thandi! I came across your profile and was so touched and inspired by your post about writing 'The Pig Who Wanted to Fly' from a wheelchair. Your dedication to your craft is truly amazing! I see you also have 'From Bump to Babies' coming up soon. How is the prep for the new book launch going? I'd love to help you build some buzz and reach more readers for it!"
"Shelley Gilpin","writeathandbooks","2nd post","The illustration for 'Grampa Hiccups' is absolutely adorable and full of personality! Such a fun concept for a children's book. 👴🏻💨📖","Hi Shelley! Stumbled on your profile and wanted to say how lovely your children's books look—'Grampa Hiccups' and 'The Most Important Thing About My Mom' have such sweet and engaging covers. How has the response to your books been on Amazon? Are you looking to run any special promos or get more parent bloggers to review them? I'd love to share some ideas!"
"Talina Arden","talinaardenwrites","1st post","The cover art for 'The Last Fury' is absolutely breathtaking! The intense, dark fantasy romance vibe is so well represented. September 15th can't come soon enough! 🔥🖤","Hey Talina! I came across your page and wanted to say how gorgeous the cover art and concept for 'The Last Fury' is. Dark fantasy romance is such a popular and exciting genre! Since Book One is coming out on September 15th, how are you planning to build up excitement for the launch? I'd love to help you design a book promotion campaign to get readers hooked!"
"Denise Rodezno","deniserodezno.writer","1st post","This illustration is so expressive! It really captures the diverse and intriguing character dynamics of a YA story. 🎨📚","Hi Denise! I came across your page and wanted to reach out. 'The Last Throwaway' sounds like a very powerful and important YA social thriller! As both a teacher and an author, you have such a unique perspective. How has the journey of promoting your book on Instagram been? Are you looking to run any school outreach, library, or digital book campaigns? I'd love to share some ideas to help get more readers!"
